Start time          	End time            	Activity	
2012-11-30 15:08:48		2012-11-30 15:19:33		Lunch
2012-11-30 15:20:11		2012-11-30 17:30:16		Spare_Time/TV
2012-11-30 17:30:00		2012-11-30 17:42:59		Snack
2012-11-30 17:46:00		2012-11-30 17:47:59		Toileting
2012-11-30 17:51:00		2012-11-30 22:11:40		Spare_Time/TV
2012-11-30 22:12:00		2012-11-30 22:20:14	 	Dinner
2012-11-30 22:40:00		2012-12-01 00:05:59		Spare_Time/TV
2012-12-01 00:15:00		2012-12-01 00:15:59		Toileting
2012-12-01 00:18:00		2012-12-01 09:40:59		Sleeping
2012-12-01 09:46:00		2012-12-01 09:47:09		Toileting
2012-12-01 09:50:00		2012-12-01 10:09:59		Breakfast
2012-12-01 10:34:00		2012-12-01 10:36:59		Grooming
2012-12-01 10:37:00		2012-12-01 10:43:59		Showering
2012-12-01 10:45:00		2012-12-01 10:48:59		Grooming
2012-12-01 10:54:00		2012-12-01 10:54:59		Grooming
2012-12-01 11:29:00		2012-12-01 11:36:59		Snack
2012-12-01 12:16:00		2012-12-01 12:49:59		Leaving
2012-12-01 12:52:00		2012-12-01 12:52:47		Toileting
2012-12-01 13:37:00		2012-12-01 14:10:21		Lunch
2012-12-01 15:49:00		2012-12-01 15:58:44		Snack
2012-12-01 18:28:00		2012-12-01 18:45:59		Snack
2012-12-01 18:51:00		2012-12-01 18:51:45		Toileting
2012-12-01 18:53:00		2012-12-01 20:36:59		Spare_Time/TV
2012-12-01 21:10:00		2012-12-01 21:10:59		Grooming
2012-12-01 21:20:00		2012-12-02 01:25:59		Leaving
2012-12-02 01:32:00		2012-12-02 01:33:59		Grooming
2012-12-02 01:38:00		2012-12-02 01:39:59		Toileting
2012-12-02 01:41:00		2012-12-02 09:20:59		Sleeping
2012-12-02 09:24:00		2012-12-02 09:24:10		Toileting
2012-12-02 09:26:22		2012-12-02 10:16:59		Sleeping
2012-12-02 10:20:00		2012-12-02 10:21:59		Toileting
2012-12-02 10:26:00		2012-12-02 10:33:59		Breakfast
2012-12-02 11:34:00		2012-12-02 11:35:59		Toileting
2012-12-02 11:35:00		2012-12-02 11:49:59		Grooming
2012-12-02 11:53:00		2012-12-02 11:53:59		Grooming
2012-12-02 12:24:00		2012-12-02 12:56:59		Snack
2012-12-02 13:37:00		2012-12-02 13:59:59		Leaving
2012-12-02 15:14:00		2012-12-02 15:33:59		Lunch
2012-12-02 16:45:00		2012-12-02 16:59:59		Snack
2012-12-02 17:10:00		2012-12-02 18:45:59		Spare_Time/TV
2012-12-02 18:46:00		2012-12-02 18:47:18		Toileting
2012-12-02 19:10:00		2012-12-02 19:10:30		Toileting
2012-12-02 19:16:00		2012-12-02 20:03:59		Spare_Time/TV
2012-12-02 20:09:00		2012-12-02 20:21:59		Spare_Time/TV
2012-12-02 20:29:00		2012-12-02 20:29:59		Grooming
2012-12-02 20:41:00		2012-12-03 01:03:59		Spare_Time/TV
