NUMBER;ACTIVITY;LOCATION;TYPE;PLACE
671;Grooming;Toilet;Flush;Bathroom
672;Grooming;Basin;PIR;Bathroom
673;Grooming;Door;PIR;Bedroom
674;Toileting;Door;PIR;Bedroom
675;Leaving;Maindoor;Magnetic;Entrance
676;Leaving;Maindoor;Magnetic;Entrance
677;Leaving;Door;PIR;Living
678;Toileting;Door;PIR;Living
679;Toileting;Toilet;Flush;Bathroom
680;Toileting;Door;PIR;Living
681;Toileting;Door;PIR;Living
682;Snack;Door;PIR;Kitchen
683;Snack;Fridge;Magnetic;Kitchen
684;Snack;Microwave;Electric;Kitchen
685;Snack;Microwave;Electric;Kitchen
686;Snack;Fridge;Magnetic;Kitchen
687;Snack;Door;PIR;Kitchen
688;Snack;Door;PIR;Living
689;Spare_Time/TV;Seat;Pressure;Living
690;Spare_Time/TV;Door;PIR;Living
691;Spare_Time/TV;Door;PIR;Living
692;Spare_Time/TV;Seat;Pressure;Living
693;Spare_Time/TV;Door;PIR;Living
694;Spare_Time/TV;Door;PIR;Living
695;Spare_Time/TV;Door;PIR;Living
696;Spare_Time/TV;Door;PIR;Kitchen
697;Dinner;Microwave;Electric;Kitchen
698;Dinner;Fridge;Magnetic;Kitchen
699;Dinner;Cupboard;Magnetic;Kitchen
700;Dinner;Door;PIR;Kitchen
701;Grooming;Basin;PIR;Bathroom
702;Grooming;Door;PIR;Living
703;Snack;Door;PIR;Kitchen
704;Snack;Fridge;Magnetic;Kitchen
705;Snack;Door;PIR;Kitchen
706;Snack;Door;PIR;Living
707;Spare_Time/TV;Seat;Pressure;Living
708;Spare_Time/TV;Door;PIR;Living
709;Spare_Time/TV;Door;PIR;Kitchen
710;Spare_Time/TV;Door;PIR;Kitchen
711;Spare_Time/TV;Door;PIR;Living
712;Spare_Time/TV;Seat;Pressure;Living
713;Spare_Time/TV;Door;PIR;Living
714;Toileting;Toilet;Flush;Bathroom
715;Toileting;Door;PIR;Bedroom
716;Sleeping;Bed;Pressure;Bedroom
717;Sleeping;Door;PIR;Bedroom
718;Toileting;Toilet;Flush;Bathroom
719;Toileting;Door;PIR;Living
720;Toileting;Door;PIR;Living
721;Breakfast;Door;PIR;Kitchen
722;Breakfast;Fridge;Magnetic;Kitchen
723;Breakfast;Door;PIR;Kitchen
724;Grooming;Basin;PIR;Bathroom
725;Grooming;Basin;PIR;Bathroom
726;Snack;Door;PIR;Kitchen
727;Snack;Fridge;Magnetic;Kitchen
728;Snack;Door;PIR;Kitchen
729;Snack;Door;PIR;Living
730;Spare_Time/TV;Seat;Pressure;Living
731;Spare_Time/TV;Door;PIR;Living
732;Toileting;Toilet;Flush;Bathroom
733;Snack;Door;PIR;Kitchen
734;Snack;Fridge;Magnetic;Kitchen
735;Snack;Door;PIR;Kitchen
736;Snack;Door;PIR;Living
737;Spare_Time/TV;Door;PIR;Kitchen
738;Spare_Time/TV;Door;PIR;Living
739;Spare_Time/TV;Door;PIR;Living
740;Spare_Time/TV;Door;PIR;Living
741;Spare_Time/TV;Door;PIR;Living
742;Spare_Time/TV;Door;PIR;Kitchen
743;Lunch;Cupboard;Magnetic;Kitchen
744;Lunch;Door;PIR;Kitchen
745;Lunch;Door;PIR;Living
746;Lunch;Door;PIR;Living
747;Lunch;Door;PIR;Kitchen
748;Lunch;Fridge;Magnetic;Kitchen
749;Lunch;Door;PIR;Kitchen
750;Lunch;Door;PIR;Living
751;Lunch;Door;PIR;Living
752;Spare_Time/TV;Door;PIR;Kitchen
753;Spare_Time/TV;Door;PIR;Living
754;Spare_Time/TV;Seat;Pressure;Living
755;Spare_Time/TV;Door;PIR;Living
756;Spare_Time/TV;Door;PIR;Kitchen
757;Spare_Time/TV;Door;PIR;Kitchen
758;Toileting;Toilet;Flush;Bathroom
759;Toileting;Door;PIR;Living
760;Leaving;Maindoor;Magnetic;Entrance
761;Leaving;Maindoor;Magnetic;Entrance
762;Spare_Time/TV;Door;PIR;Living
763;Spare_Time/TV;Seat;Pressure;Living
764;Spare_Time/TV;Door;PIR;Living
765;Spare_Time/TV;Door;PIR;Living
766;Spare_Time/TV;Seat;Pressure;Living
767;Spare_Time/TV;Door;PIR;Living
768;Spare_Time/TV;Door;PIR;Kitchen
769;Spare_Time/TV;Door;PIR;Kitchen
770;Spare_Time/TV;Door;PIR;Living
771;Spare_Time/TV;Seat;Pressure;Living
772;Grooming;Door;PIR;Living
773;Grooming;Basin;PIR;Bathroom
774;Sleeping;Door;PIR;Bedroom
775;Sleeping;Bed;Pressure;Bedroom
776;Sleeping;Door;PIR;Bedroom
777;Toileting;Toilet;Flush;Bathroom
778;Toileting;Door;PIR;Living
779;Toileting;Door;PIR;Living
780;Toileting;Door;PIR;Kitchen
781;Breakfast;Fridge;Magnetic;Kitchen
782;Breakfast;Fridge;Magnetic;Kitchen
783;Breakfast;Fridge;Magnetic;Kitchen
784;Breakfast;Door;PIR;Kitchen
785;Breakfast;Door;PIR;Living
786;Spare_Time/TV;Seat;Pressure;Living
787;Spare_Time/TV;Door;PIR;Living
788;Grooming;Basin;PIR;Bathroom
789;Toileting;Toilet;Flush;Bathroom
790;Grooming;Basin;PIR;Bathroom
791;Leaving;Maindoor;Magnetic;Entrance
792;Leaving;Maindoor;Magnetic;Entrance
793;Spare_Time/TV;Door;PIR;Living
794;Spare_Time/TV;Seat;Pressure;Living
795;Spare_Time/TV;Door;PIR;Living
796;Spare_Time/TV;Door;PIR;Kitchen
797;Spare_Time/TV;Door;PIR;Kitchen
798;Spare_Time/TV;Door;PIR;Living
799;Spare_Time/TV;Seat;Pressure;Living
800;Spare_Time/TV;Door;PIR;Living
801;Spare_Time/TV;Door;PIR;Kitchen
802;Lunch;Cupboard;Magnetic;Kitchen
803;Lunch;Door;PIR;Kitchen
804;Lunch;Door;PIR;Living
805;Lunch;Door;PIR;Living
806;Lunch;Door;PIR;Living
807;Lunch;Door;PIR;Living
808;Lunch;Door;PIR;Kitchen
809;Lunch;Door;PIR;Kitchen
810;Lunch;Door;PIR;Living
811;Spare_Time/TV;Door;PIR;Living
812;Spare_Time/TV;Door;PIR;Kitchen
813;Spare_Time/TV;Door;PIR;Kitchen
814;Spare_Time/TV;Door;PIR;Living
815;Spare_Time/TV;Seat;Pressure;Living
816;Snack;Door;PIR;Living
817;Snack;Door;PIR;Kitchen
818;Snack;Fridge;Magnetic;Kitchen
819;Snack;Door;PIR;Kitchen
820;Snack;Door;PIR;Living
821;Spare_Time/TV;Seat;Pressure;Living
822;Spare_Time/TV;Door;PIR;Living
823;Spare_Time/TV;Door;PIR;Living
824;Spare_Time/TV;Seat;Pressure;Living
825;Spare_Time/TV;Door;PIR;Living
826;Spare_Time/TV;Door;PIR;Living
827;Spare_Time/TV;Door;PIR;Living
828;Spare_Time/TV;Door;PIR;Bedroom
829;Spare_Time/TV;Door;PIR;Bedroom
830;Toileting;Door;PIR;Living
831;Toileting;Toilet;Flush;Bathroom
832;Toileting;Door;PIR;Bedroom
833;Leaving;Door;PIR;Living
834;Leaving;Maindoor;Magnetic;Entrance
835;Leaving;Maindoor;Magnetic;Entrance
836;Leaving;Door;PIR;Kitchen
837;Snack;Fridge;Magnetic;Kitchen
838;Snack;Door;PIR;Kitchen
839;Grooming;Door;PIR;Bedroom
840;Grooming;Basin;PIR;Bathroom
841;Sleeping;Door;PIR;Bedroom
842;Sleeping;Bed;Pressure;Bedroom
843;Sleeping;Door;PIR;Bedroom
844;Sleeping;Door;PIR;Bedroom
845;Sleeping;Bed;Pressure;Bedroom
846;Sleeping;Door;PIR;Bedroom
847;Toileting;Toilet;Flush;Bathroom
848;Toileting;Door;PIR;Living
849;Breakfast;Door;PIR;Living
850;Breakfast;Door;PIR;Kitchen
851;Breakfast;Fridge;Magnetic;Kitchen
852;Breakfast;Fridge;Magnetic;Kitchen
853;Breakfast;Cupboard;Magnetic;Kitchen
854;Breakfast;Door;PIR;Kitchen
855;Snack;Door;PIR;Kitchen
856;Snack;Cupboard;Magnetic;Kitchen
857;Snack;Door;PIR;Kitchen
858;Spare_Time/TV;Door;PIR;Living
859;Spare_Time/TV;Seat;Pressure;Living
860;Spare_Time/TV;Door;PIR;Living
861;Spare_Time/TV;Door;PIR;Kitchen
862;Spare_Time/TV;Fridge;Magnetic;Kitchen
863;Snack;Door;PIR;Kitchen
864;Grooming;Basin;PIR;Bathroom
865;Spare_Time/TV;Door;PIR;Living
866;Spare_Time/TV;Seat;Pressure;Living
867;Spare_Time/TV;Door;PIR;Living
868;Spare_Time/TV;Door;PIR;Living
869;Spare_Time/TV;Door;PIR;Living
870;Spare_Time/TV;Door;PIR;Living
871;Spare_Time/TV;Seat;Pressure;Living
872;Spare_Time/TV;Door;PIR;Living
873;Spare_Time/TV;Door;PIR;Kitchen
874;Spare_Time/TV;Fridge;Magnetic;Kitchen
875;Spare_Time/TV;Door;PIR;Kitchen
876;Spare_Time/TV;Door;PIR;Living
877;Spare_Time/TV;Door;PIR;Living
878;Snack;Door;PIR;Kitchen
879;Snack;Cupboard;Magnetic;Kitchen
880;Snack;Door;PIR;Kitchen
881;Spare_Time/TV;Door;PIR;Living
882;Spare_Time/TV;Seat;Pressure;Living
883;Spare_Time/TV;Door;PIR;Living
884;Spare_Time/TV;Door;PIR;Kitchen
885;Snack;Fridge;Magnetic;Kitchen
886;Spare_Time/TV;Door;PIR;Kitchen
887;Spare_Time/TV;Door;PIR;Living
888;Spare_Time/TV;Seat;Pressure;Living
889;Spare_Time/TV;Door;PIR;Living
890;Grooming;Basin;PIR;Bathroom
891;Toileting;Toilet;Flush;Bathroom
892;Leaving;Door;PIR;Living
893;Leaving;Door;PIR;Living
894;Leaving;Door;PIR;Bedroom
895;Leaving;Door;PIR;Bedroom
896;Leaving;Door;PIR;Living
897;Leaving;Door;PIR;Living
898;Leaving;Maindoor;Magnetic;Entrance
899;Leaving;Maindoor;Magnetic;Entrance
900;Snack;Door;PIR;Bedroom
901;Snack;Door;PIR;Living
902;Snack;Door;PIR;Living
903;Snack;Door;PIR;Kitchen
904;Snack;Fridge;Magnetic;Kitchen
905;Snack;Door;PIR;Kitchen
906;Spare_Time/TV;Door;PIR;Bedroom
907;Spare_Time/TV;Door;PIR;Living
908;Spare_Time/TV;Seat;Pressure;Living
909;Spare_Time/TV;Door;PIR;Living
910;Spare_Time/TV;Basin;PIR;Bathroom
911;Grooming;Door;PIR;Bedroom
912;Sleeping;Bed;Pressure;Bedroom
913;Sleeping;Door;PIR;Bedroom
914;Toileting;Toilet;Flush;Bathroom
915;Toileting;Door;PIR;Living
916;Breakfast;Door;PIR;Bedroom
917;Breakfast;Door;PIR;Kitchen
918;Breakfast;Fridge;Magnetic;Kitchen
919;Breakfast;Door;PIR;Kitchen
920;Grooming;Basin;PIR;Bathroom
921;Grooming;Basin;PIR;Bathroom
922;Grooming;Door;PIR;Bedroom
923;Grooming;Door;PIR;Bedroom
924;Grooming;Basin;PIR;Bathroom
925;Grooming;Basin;PIR;Bathroom
926;Grooming;Door;PIR;Bedroom
927;Sleeping;Maindoor;Magnetic;Entrance
928;Sleeping;Maindoor;Magnetic;Entrance
929;Sleeping;Door;PIR;Kitchen
930;Sleeping;Door;PIR;Kitchen
931;Snack;Door;PIR;Living
932;Snack;Door;PIR;Kitchen
933;Snack;Fridge;Magnetic;Kitchen
934;Snack;Door;PIR;Kitchen
935;Snack;Door;PIR;Living
936;Snack;Door;PIR;Living
937;Grooming;Door;PIR;Bedroom
938;Grooming;Basin;PIR;Bathroom
939;Grooming;Door;PIR;Bedroom
940;Spare_Time/TV;Door;PIR;Bedroom
941;Spare_Time/TV;Door;PIR;Living
942;Spare_Time/TV;Seat;Pressure;Living
943;Spare_Time/TV;Door;PIR;Living
944;Spare_Time/TV;Door;PIR;Kitchen
945;Lunch;Door;PIR;Kitchen
946;Lunch;Door;PIR;Living
947;Lunch;Door;PIR;Living
948;Toileting;Toilet;Flush;Bathroom
949;Toileting;Door;PIR;Living
950;Toileting;Door;PIR;Living
951;Toileting;Door;PIR;Kitchen
952;Spare_Time/TV;Door;PIR;Living
953;Spare_Time/TV;Seat;Pressure;Living
954;Spare_Time/TV;Door;PIR;Living
955;Spare_Time/TV;Door;PIR;Kitchen
956;Spare_Time/TV;Door;PIR;Kitchen
957;Toileting;Toilet;Flush;Bathroom
958;Toileting;Door;PIR;Living
959;Toileting;Door;PIR;Living
960;Snack;Door;PIR;Kitchen
961;Snack;Door;PIR;Kitchen
962;Spare_Time/TV;Door;PIR;Living
963;Spare_Time/TV;Seat;Pressure;Living
964;Spare_Time/TV;Door;PIR;Living
965;Spare_Time/TV;Door;PIR;Kitchen
966;Snack;Fridge;Magnetic;Kitchen
967;Snack;Door;PIR;Kitchen
968;Snack;Door;PIR;Living
969;Spare_Time/TV;Door;PIR;Living
970;Spare_Time/TV;Seat;Pressure;Living
971;Spare_Time/TV;Door;PIR;Living
972;Leaving;Maindoor;Magnetic;Entrance
973;Leaving;Maindoor;Magnetic;Entrance
974;Toileting;Toilet;Flush;Bathroom
975;Toileting;Door;PIR;Kitchen
976;Spare_Time/TV;Door;PIR;Living
977;Spare_Time/TV;Seat;Pressure;Living
978;Spare_Time/TV;Door;PIR;Living
979;Grooming;Basin;PIR;Bathroom
980;Sleeping;Door;PIR;Bedroom
981;Sleeping;Bed;Pressure;Bedroom
982;Sleeping;Door;PIR;Bedroom
983;Sleeping;Door;PIR;Living
984;Breakfast;Door;PIR;Living
985;Breakfast;Door;PIR;Kitchen
986;Breakfast;Fridge;Magnetic;Kitchen
987;Breakfast;Fridge;Magnetic;Kitchen
988;Breakfast;Door;PIR;Kitchen
989;Breakfast;Door;PIR;Living
990;Breakfast;Door;PIR;Living
991;Toileting;Toilet;Flush;Bathroom
992;Toileting;Door;PIR;Living
993;Spare_Time/TV;Seat;Pressure;Living
994;Spare_Time/TV;Door;PIR;Living
995;Snack;Door;PIR;Kitchen
996;Snack;Fridge;Magnetic;Kitchen
997;Snack;Door;PIR;Kitchen
998;Snack;Door;PIR;Living
999;Showering;Shower;PIR;Bathroom
1000;Grooming;Basin;PIR;Bathroom
1001;Grooming;Basin;PIR;Bathroom
1002;Grooming;Basin;PIR;Bathroom
1003;Toileting;Toilet;Flush;Bathroom
1004;Snack;Door;PIR;Kitchen
1005;Snack;Door;PIR;Kitchen
1006;Spare_Time/TV;Door;PIR;Living
1007;Spare_Time/TV;Seat;Pressure;Living
1008;Spare_Time/TV;Door;PIR;Living
1009;Spare_Time/TV;Door;PIR;Bedroom
1010;Spare_Time/TV;Door;PIR;Bedroom
1011;Spare_Time/TV;Door;PIR;Living
1012;Spare_Time/TV;Door;PIR;Living
1013;Spare_Time/TV;Door;PIR;Living
1014;Spare_Time/TV;Door;PIR;Living
1015;Spare_Time/TV;Door;PIR;Bedroom
1016;Grooming;Door;PIR;Bedroom
1017;Grooming;Basin;PIR;Bathroom
1018;Leaving;Door;PIR;Living
1019;Leaving;Maindoor;Magnetic;Entrance
1020;Leaving;Maindoor;Magnetic;Entrance
1021;Leaving;Door;PIR;Living
1022;Leaving;Door;PIR;Living
1023;Leaving;Door;PIR;Bedroom
1024;Toileting;Door;PIR;Bedroom
1025;Toileting;Toilet;Flush;Bathroom
1026;Toileting;Basin;PIR;Bathroom
1027;Grooming;Door;PIR;Living
1028;Spare_Time/TV;Seat;Pressure;Living
1029;Spare_Time/TV;Door;PIR;Living
1030;Snack;Door;PIR;Kitchen
1031;Snack;Fridge;Magnetic;Kitchen
1032;Snack;Door;PIR;Kitchen
1033;Snack;Door;PIR;Living
1034;Spare_Time/TV;Door;PIR;Living
1035;Spare_Time/TV;Door;PIR;Living
1036;Spare_Time/TV;Door;PIR;Kitchen
1037;Spare_Time/TV;Door;PIR;Kitchen
1038;Spare_Time/TV;Door;PIR;Living
1039;Toileting;Door;PIR;Living
1040;Dinner;Door;PIR;Living
1041;Dinner;Door;PIR;Kitchen
1042;Dinner;Fridge;Magnetic;Kitchen
1043;Dinner;Fridge;Magnetic;Kitchen
1044;Dinner;Door;PIR;Kitchen
1045;Dinner;Door;PIR;Living
1046;Spare_Time/TV;Door;PIR;Living
1047;Spare_Time/TV;Door;PIR;Kitchen
1048;Snack;Fridge;Magnetic;Kitchen
1049;Snack;Door;PIR;Kitchen
1050;Spare_Time/TV;Door;PIR;Living
1051;Spare_Time/TV;Seat;Pressure;Living
1052;Spare_Time/TV;Door;PIR;Living
1053;Spare_Time/TV;Door;PIR;Living
1054;Spare_Time/TV;Seat;Pressure;Living
1055;Spare_Time/TV;Door;PIR;Living
1056;Sleeping;Door;PIR;Bedroom
1057;Sleeping;Bed;Pressure;Bedroom
1058;Sleeping;Door;PIR;Bedroom
1059;Toileting;Toilet;Flush;Bathroom
1060;Toileting;Toilet;Flush;Bathroom
1061;Breakfast;Door;PIR;Kitchen
1062;Breakfast;Fridge;Magnetic;Kitchen
1063;Breakfast;Fridge;Magnetic;Kitchen
1064;Breakfast;Door;PIR;Kitchen
1065;Spare_Time/TV;Door;PIR;Living
1066;Spare_Time/TV;Seat;Pressure;Living
1067;Spare_Time/TV;Door;PIR;Living
1068;Spare_Time/TV;Door;PIR;Bedroom
1069;Leaving;Maindoor;Magnetic;Entrance
1070;Leaving;Maindoor;Magnetic;Entrance
1071;Toileting;Toilet;Flush;Bathroom
1072;Toileting;Door;PIR;Bedroom
1073;Spare_Time/TV;Door;PIR;Living
1074;Spare_Time/TV;Seat;Pressure;Living
1075;Spare_Time/TV;Door;PIR;Living
1076;Spare_Time/TV;Door;PIR;Kitchen
1077;Lunch;Door;PIR;Kitchen
1078;Lunch;Fridge;Magnetic;Kitchen
1079;Lunch;Fridge;Magnetic;Kitchen
1080;Lunch;Door;PIR;Kitchen
1081;Lunch;Door;PIR;Living
1082;Lunch;Door;PIR;Living
1083;Lunch;Door;PIR;Kitchen
1084;Lunch;Door;PIR;Kitchen
1085;Lunch;Door;PIR;Living
1086;Snack;Door;PIR;Living
1087;Snack;Door;PIR;Kitchen
1088;Snack;Fridge;Magnetic;Kitchen
1089;Snack;Door;PIR;Kitchen
1090;Leaving;Door;PIR;Living
1091;Leaving;Maindoor;Magnetic;Entrance
1092;Leaving;Maindoor;Magnetic;Entrance
1093;Leaving;Door;PIR;Living
1094;Toileting;Toilet;Flush;Bathroom
1095;Toileting;Door;PIR;Living
1096;Spare_Time/TV;Seat;Pressure;Living
1097;Spare_Time/TV;Door;PIR;Living
1098;Spare_Time/TV;Door;PIR;Kitchen
1099;Dinner;Door;PIR;Kitchen
1100;Dinner;Door;PIR;Living
1101;Dinner;Door;PIR;Living
1102;Dinner;Door;PIR;Kitchen
1103;Dinner;Fridge;Magnetic;Kitchen
1104;Dinner;Door;PIR;Kitchen
1105;Dinner;Door;PIR;Living
1106;Spare_Time/TV;Seat;Pressure;Living
1107;Spare_Time/TV;Door;PIR;Living
1108;Spare_Time/TV;Door;PIR;Kitchen
1109;Spare_Time/TV;Door;PIR;Living
1110;Spare_Time/TV;Seat;Pressure;Living
1111;Spare_Time/TV;Door;PIR;Living
1112;Spare_Time/TV;Door;PIR;Bedroom
1113;Spare_Time/TV;Door;PIR;Bedroom
1114;Spare_Time/TV;Door;PIR;Living
1115;Spare_Time/TV;Seat;Pressure;Living
1116;Spare_Time/TV;Door;PIR;Living
1117;Spare_Time/TV;Door;PIR;Kitchen
1118;Toileting;Toilet;Flush;Bathroom
1119;Toileting;Door;PIR;Bedroom
1120;Sleeping;Bed;Pressure;Bedroom
1121;Sleeping;Door;PIR;Bedroom
1122;Toileting;Toilet;Flush;Bathroom
1123;Breakfast;Door;PIR;Living
1124;Breakfast;Door;PIR;Kitchen
1125;Breakfast;Fridge;Magnetic;Kitchen
1126;Breakfast;Fridge;Magnetic;Kitchen
1127;Breakfast;Door;PIR;Kitchen
1128;Showering;Shower;PIR;Bathroom
1129;Grooming;Basin;PIR;Bathroom
1130;Grooming;Basin;PIR;Bathroom
1131;Toileting;Toilet;Flush;Bathroom
1132;Toileting;Door;PIR;Bedroom
1133;Leaving;Maindoor;Magnetic;Entrance
1134;Leaving;Maindoor;Magnetic;Entrance
1135;Leaving;Door;PIR;Kitchen
1136;Spare_Time/TV;Door;PIR;Kitchen
1137;Spare_Time/TV;Door;PIR;Living
1138;Spare_Time/TV;Seat;Pressure;Living
1139;Spare_Time/TV;Door;PIR;Living
1140;Spare_Time/TV;Door;PIR;Kitchen
1141;Spare_Time/TV;Door;PIR;Kitchen
1142;Spare_Time/TV;Door;PIR;Living
1143;Spare_Time/TV;Seat;Pressure;Living
1144;Spare_Time/TV;Door;PIR;Living
1145;Spare_Time/TV;Maindoor;Magnetic;Entrance
1146;Leaving;Maindoor;Magnetic;Entrance
1147;Toileting;Toilet;Flush;Bathroom
1148;Spare_Time/TV;Door;PIR;Kitchen
1149;Spare_Time/TV;Door;PIR;Kitchen
1150;Spare_Time/TV;Door;PIR;Living
1151;Leaving;Door;PIR;Living
1152;Leaving;Maindoor;Magnetic;Entrance
1153;Leaving;Maindoor;Magnetic;Entrance
1154;Grooming;Basin;PIR;Bathroom
1155;Toileting;Toilet;Flush;Bathroom
1156;Toileting;Door;PIR;Living
1157;Breakfast;Door;PIR;Living
1158;Breakfast;Door;PIR;Kitchen
1159;Breakfast;Fridge;Magnetic;Kitchen
1160;Breakfast;Fridge;Magnetic;Kitchen
1161;Breakfast;Door;PIR;Kitchen
1162;Breakfast;Door;PIR;Living
1163;Spare_Time/TV;Door;PIR;Bedroom
1164;Spare_Time/TV;Door;PIR;Living
1165;Spare_Time/TV;Seat;Pressure;Living
1166;Spare_Time/TV;Door;PIR;Living
1167;Spare_Time/TV;Door;PIR;Kitchen
1168;Grooming;Basin;PIR;Bathroom
1169;Grooming;Door;PIR;Kitchen
1170;Grooming;Fridge;Magnetic;Kitchen
1171;Snack;Door;PIR;Kitchen
1172;Snack;Door;PIR;Bedroom
1173;Spare_Time/TV;Door;PIR;Bedroom
1174;Spare_Time/TV;Door;PIR;Living
1175;Spare_Time/TV;Seat;Pressure;Living
1176;Spare_Time/TV;Door;PIR;Living
1177;Spare_Time/TV;Door;PIR;Kitchen
1178;Grooming;Basin;PIR;Bathroom
1179;Showering;Shower;PIR;Bathroom
1180;Grooming;Basin;PIR;Bathroom
1181;Spare_Time/TV;Door;PIR;Living
1182;Spare_Time/TV;Seat;Pressure;Living
1183;Spare_Time/TV;Door;PIR;Living
1184;Leaving;Maindoor;Magnetic;Entrance
1185;Leaving;Maindoor;Magnetic;Entrance
1186;Spare_Time/TV;Door;PIR;Living
1187;Spare_Time/TV;Seat;Pressure;Living
1188;Spare_Time/TV;Door;PIR;Living
1189;Spare_Time/TV;Door;PIR;Bedroom
1190;Spare_Time/TV;Door;PIR;Kitchen
1191;Spare_Time/TV;Door;PIR;Living
1192;Spare_Time/TV;Door;PIR;Living
1193;Spare_Time/TV;Door;PIR;Living
1194;Spare_Time/TV;Door;PIR;Living
1195;Snack;Door;PIR;Kitchen
1196;Snack;Fridge;Magnetic;Kitchen
1197;Snack;Door;PIR;Kitchen
1198;Snack;Door;PIR;Living
1199;Spare_Time/TV;Seat;Pressure;Living
1200;Spare_Time/TV;Door;PIR;Living
1201;Spare_Time/TV;Door;PIR;Kitchen
1202;Grooming;Door;PIR;Living
1203;Grooming;Basin;PIR;Bathroom
1204;Toileting;Toilet;Flush;Bathroom
1205;Grooming;Basin;PIR;Bathroom
1206;Leaving;Maindoor;Magnetic;Entrance
1207;Leaving;Maindoor;Magnetic;Entrance
1208;Leaving;Door;PIR;Living
1209;Grooming;Door;PIR;Bedroom
1210;Grooming;Basin;PIR;Bathroom
1211;Toileting;Toilet;Flush;Bathroom
1212;Toileting;Door;PIR;Living
1213;Toileting;Door;PIR;Living
1214;Toileting;Door;PIR;Bedroom
1215;Sleeping;Bed;Pressure;Bedroom
1216;Sleeping;Door;PIR;Bedroom
1217;Toileting;Toilet;Flush;Bathroom
1218;Toileting;Door;PIR;Bedroom
1219;Toileting;Door;PIR;Bedroom
1220;Breakfast;Door;PIR;Living
1221;Breakfast;Door;PIR;Kitchen
1222;Breakfast;Fridge;Magnetic;Kitchen
1223;Breakfast;Fridge;Magnetic;Kitchen
1224;Breakfast;Door;PIR;Kitchen
1225;Breakfast;Door;PIR;Living
1226;Breakfast;Door;PIR;Living
1227;Breakfast;Door;PIR;Kitchen
1228;Breakfast;Fridge;Magnetic;Kitchen
1229;Breakfast;Door;PIR;Kitchen
1230;Grooming;Basin;PIR;Bathroom
1231;Grooming;Basin;PIR;Bathroom
1232;Toileting;Toilet;Flush;Bathroom
1233;Grooming;Basin;PIR;Bathroom
1234;Spare_Time/TV;Door;PIR;Living
1235;Spare_Time/TV;Seat;Pressure;Living
1236;Spare_Time/TV;Door;PIR;Living
1237;Spare_Time/TV;Door;PIR;Bedroom
1238;Spare_Time/TV;Door;PIR;Bedroom
1239;Spare_Time/TV;Door;PIR;Living
1240;Spare_Time/TV;Seat;Pressure;Living
1241;Spare_Time/TV;Door;PIR;Living
1242;Spare_Time/TV;Maindoor;Magnetic;Entrance
1243;Leaving;Maindoor;Magnetic;Entrance
1244;Leaving;Door;PIR;Kitchen
1245;Leaving;Fridge;Magnetic;Kitchen
1246;Snack;Door;PIR;Kitchen
1247;Spare_Time/TV;Door;PIR;Kitchen
1248;Spare_Time/TV;Door;PIR;Living
1249;Spare_Time/TV;Seat;Pressure;Living
1250;Spare_Time/TV;Door;PIR;Living
1251;Snack;Door;PIR;Kitchen
1252;Snack;Fridge;Magnetic;Kitchen
1253;Snack;Door;PIR;Kitchen
1254;Snack;Door;PIR;Living
1255;Spare_Time/TV;Door;PIR;Living
1256;Spare_Time/TV;Seat;Pressure;Living
1257;Spare_Time/TV;Door;PIR;Living
1258;Toileting;Toilet;Flush;Bathroom
1259;Toileting;Basin;PIR;Bathroom
1260;Toileting;Door;PIR;Living
1261;Grooming;Door;PIR;Living
1262;Leaving;Maindoor;Magnetic;Entrance
1263;Leaving;Maindoor;Magnetic;Entrance
1264;Leaving;Door;PIR;Living
1265;Spare_Time/TV;Seat;Pressure;Living
1266;Spare_Time/TV;Door;PIR;Living
1267;Toileting;Toilet;Flush;Bathroom
1268;Spare_Time/TV;Door;PIR;Living
1269;Spare_Time/TV;Seat;Pressure;Living
1270;Spare_Time/TV;Door;PIR;Living
1271;Spare_Time/TV;Door;PIR;Kitchen
1272;Snack;Fridge;Magnetic;Kitchen
1273;Snack;Door;PIR;Kitchen
1274;Leaving;Maindoor;Magnetic;Entrance
1275;Leaving;Maindoor;Magnetic;Entrance
1276;Leaving;Door;PIR;Kitchen
1277;Dinner;Fridge;Magnetic;Kitchen
1278;Dinner;Fridge;Magnetic;Kitchen
1279;Dinner;Door;PIR;Kitchen
1280;Dinner;Door;PIR;Living
1281;Dinner;Door;PIR;Living
1282;Dinner;Door;PIR;Bedroom
1283;Dinner;Door;PIR;Bedroom
1284;Dinner;Door;PIR;Living
1285;Spare_Time/TV;Seat;Pressure;Living
1286;Spare_Time/TV;Door;PIR;Living
1287;Spare_Time/TV;Door;PIR;Kitchen
1288;Spare_Time/TV;Door;PIR;Kitchen
1289;Spare_Time/TV;Door;PIR;Living
1290;Toileting;Toilet;Flush;Bathroom
1291;Toileting;Door;PIR;Living
1292;Toileting;Door;PIR;Living
1293;Toileting;Basin;PIR;Bathroom
1294;Grooming;Door;PIR;Bedroom
1295;Grooming;Door;PIR;Bedroom
1296;Grooming;Door;PIR;Living
1297;Grooming;Basin;PIR;Bathroom
1298;Grooming;Door;PIR;Bedroom
1299;Sleeping;Bed;Pressure;Bedroom
1300;Grooming;Door;PIR;Bedroom
1301;Grooming;Basin;PIR;Bathroom
1302;Sleeping;Door;PIR;Bedroom
1303;Sleeping;Bed;Pressure;Bedroom
1304;Sleeping;Door;PIR;Bedroom
